rank,final_worth,category,personName,age,country,source,industry_billionaires,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,population_country,source_1,source_2,source_3
1,211000,Fashion & Retail,Bernard Arnault & family,74.0,France,LVMH,Fashion & Retail,France,False,U,M,3/5/1949 0:00,Arnault,Bernard,1949.0,3.0,5.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,67059887.0,LVMH,,
2,180000,Automotive,Elon Musk,51.0,United States,"Tesla, SpaceX",Automotive,United States,True,D,M,6/28/1971 0:00,Musk,Elon,1971.0,6.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Tesla, SpaceX,
3,114000,Technology,Jeff Bezos,59.0,United States,Amazon,Technology,United States,True,D,M,1/12/1964 0:00,Bezos,Jeff,1964.0,1.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Amazon,,
4,107000,Technology,Larry Ellison,78.0,United States,Oracle,Technology,United States,True,U,M,8/17/1944 0:00,Ellison,Larry,1944.0,8.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Oracle,,
5,106000,Finance & Investments,Warren Buffett,92.0,United States,Berkshire Hathaway,Finance & Investments,United States,True,D,M,8/30/1930 0:00,Buffett,Warren,1930.0,8.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Berkshire Hathaway,,
6,104000,Technology,Bill Gates,67.0,United States,Microsoft,Technology,United States,True,D,M,10/28/1955 0:00,Gates,Bill,1955.0,10.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Microsoft,,
7,94500,Media & Entertainment,Michael Bloomberg,81.0,United States,Bloomberg LP,Media & Entertainment,United States,True,U,M,2/14/1942 0:00,Bloomberg,Michael,1942.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Bloomberg LP,,
8,93000,Telecom,Carlos Slim Helu & family,83.0,Mexico,Telecom,Telecom,Mexico,True,U,M,1/28/1940 0:00,Slim Helu,Carlos,1940.0,1.0,28.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,126014024.0,Telecom,,
9,83400,Diversified,Mukesh Ambani,65.0,India,Diversified,Diversified,India,False,D,M,4/19/1957 0:00,Ambani,Mukesh,1957.0,4.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Diversified,,
10,80700,Technology,Steve Ballmer,67.0,United States,Microsoft,Technology,United States,True,D,M,3/24/1956 0:00,Ballmer,Steve,1956.0,3.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Microsoft,,
