rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
1,Elon Musk,220.7,52.0,"Tesla, SpaceX",United States,Automotive,Male,United States,Single,Bachelor of Arts/Science,University of Pennsylvania,Self Made,Tesla, SpaceX,
2,Bernard Arnault,216.3,74.0,LVMH,France,Fashion & Retail,Male,France,Married,Bachelor of Arts/Science,Ecole Polytechnique de Paris,no data,LVMH,,
3,Jeff Bezos,160.7,59.0,Amazon,United States,Technology,Male,United States,Engaged,Bachelor of Arts/Science,Princeton University,Self Made,Amazon,,
4,Larry Ellison,145.7,78.0,Oracle,United States,Technology,Male,United States,In Relationship,Drop Out,University of Chicago,Self Made,Oracle,,
5,Warren Buffett,119.1,92.0,Berkshire Hathaway,United States,Finance & Investments,Male,United States,"Widowed, Remarried",Master of Science,Columbia University,Self Made,Berkshire Hathaway,,
6,Bill Gates,117.0,67.0,Microsoft,United States,Technology,Male,United States,Divorced,Drop Out,Harvard University,Self Made,Microsoft,,
7,Larry Page,110.2,50.0,Google,United States,Technology,Male,United States,Married,Master of Science,Stanford University,Self Made,Google,,
8,Mark Zuckerberg,107.5,39.0,Facebook,United States,Technology,Male,United States,Married,Drop Out,Harvard University,Self Made,Facebook,,
9,Sergey Brin,104.6,49.0,Google,United States,Technology,Male,United States,Separated,Master of Science,Stanford University,Self Made,Google,,
10,Steve Ballmer,100.4,67.0,Microsoft,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Harvard University,Self Made,Microsoft,,
11,Michael Bloomberg,96.3,81.0,Bloomberg LP,United States,Media & Entertainment,Male,United States,In Relationship,Master of Business Administration,Harvard Business School,Self Made,Bloomberg LP,,
12,Carlos Slim Helu,95.0,83.0,Telecom,Mexico,Telecom,Male,Mexico,Widowed,Bachelor of Arts/Science,Universidad Nacional Autonoma de Mexico,Self Made,Telecom,,
13,Mukesh Ambani,91.7,66.0,Diversified,India,Diversified,Male,India,Married,Drop Out,Stanford University,no data,Diversified,,
14,Francoise Bettencourt Meyers,89.1,70.0,L'Oréal,France,Fashion & Retail,Female,France,Married,no data,no data,no data,L'Oréal,,
15,Amancio Ortega,87.5,87.0,Zara,Spain,Fashion & Retail,Male,Spain,Married,no data,no data,Self Made,Zara,,
16,Jim Walton,65.9,75.0,Walmart,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,University of Arkansas,no data,Walmart,,
17,Rob Walton,64.5,78.0,Walmart,United States,Fashion & Retail,Male,United States,Married,Doctor of Jurisprudence,Columbia University,no data,Walmart,,
18,Michael Dell,64.2,58.0,Dell Technologies,United States,Technology,Male,United States,Married,Drop Out,The University of Texas at Austin,Self Made,Dell Technologies,,
19,Alice Walton,63.6,73.0,Walmart,United States,Fashion & Retail,Female,United States,Divorced,Bachelor of Arts/Science,Trinity University,no data,Walmart,,
20,Zhong Shanshan,62.3,68.0,"Beverages, pharmaceuticals",China,Food & Beverage,Male,China,no data,no data,no data,Self Made,Beverages, pharmaceuticals,
21,Julia Koch,60.2,61.0,Koch Industries ,United States,Diversified,Female,United States,Widowed,Bachelor of Arts/Science,University of Central Arkansas,no data,Koch Industries ,,
21,Charles Koch,60.2,87.0,Koch Industries,United States,Diversified,Male,United States,Married,Bachelor of Arts/Science,Massachusetts Institute of Technology,no data,Koch Industries,,
23,David Thomson,56.8,66.0,Media,Canada,Media & Entertainment,Male,Canada,Divorced,Master of Arts,University of Cambridge,no data,Media,,
24,Gautam Adani,52.9,61.0,"Infrastructure, commodities",India,Diversified,Male,India,Married,no data,no data,Self Made,Infrastructure, commodities,
25,Dieter Schwarz,48.3,83.0,Retail,Germany,Fashion & Retail,Male,Germany,Married,no data,no data,no data,Retail,,
26,Zhang Yiming,45.0,39.0,TikTok,China,Technology,Male,China,no data,Bachelor of Engineering,Nankai University,Self Made,TikTok,,
