rank,name,age_x,country_x,industry,sex,citizenship,marital _status,source_1_x,source_2_x,source_3_x,final_worth,age_y,industry_billionaires,source_1_y,source_2_y,source_3_y
1,Elon Musk,52.0,United States,Automotive,Male,United States,Single,Tesla, SpaceX,,211000,74.0,Fashion & Retail,LVMH,,
2,Bernard Arnault,74.0,France,Fashion & Retail,Male,France,Married,LVMH,,,180000,51.0,Automotive,Tesla, SpaceX,
3,Jeff Bezos,59.0,United States,Technology,Male,United States,Engaged,Amazon,,,114000,59.0,Technology,Amazon,,
4,Larry Ellison,78.0,United States,Technology,Male,United States,In Relationship,Oracle,,,107000,78.0,Technology,Oracle,,
5,Warren Buffett,92.0,United States,Finance & Investments,Male,United States,"Widowed, Remarried",Berkshire Hathaway,,,106000,92.0,Finance & Investments,Berkshire Hathaway,,
6,Bill Gates,67.0,United States,Technology,Male,United States,Divorced,Microsoft,,,104000,67.0,Technology,Microsoft,,
7,Larry Page,50.0,United States,Technology,Male,United States,Married,Google,,,94500,81.0,Media & Entertainment,Bloomberg LP,,
8,Mark Zuckerberg,39.0,United States,Technology,Male,United States,Married,Facebook,,,93000,83.0,Telecom,Telecom,,
9,Sergey Brin,49.0,United States,Technology,Male,United States,Separated,Google,,,83400,65.0,Diversified,Diversified,,
10,Steve Ballmer,67.0,United States,Technology,Male,United States,Married,Microsoft,,,80700,67.0,Technology,Microsoft,,
11,Michael Bloomberg,81.0,United States,Media & Entertainment,Male,United States,In Relationship,Bloomberg LP,,,80500,69.0,Fashion & Retail,L'Oréal,,
12,Carlos Slim Helu,83.0,Mexico,Telecom,Male,Mexico,Widowed,Telecom,,,79200,50.0,Technology,Google,,
13,Mukesh Ambani,66.0,India,Diversified,Male,India,Married,Diversified,,,77300,87.0,Fashion & Retail,Zara,,
14,Francoise Bettencourt Meyers,70.0,France,Fashion & Retail,Female,France,Married,L'Oréal,,,76000,49.0,Technology,Google,,
15,Amancio Ortega,87.0,Spain,Fashion & Retail,Male,Spain,Married,Zara,,,68000,68.0,Food & Beverage,Beverages, pharmaceuticals,
16,Jim Walton,75.0,United States,Fashion & Retail,Male,United States,Married,Walmart,,,64400,38.0,Technology,Facebook,,
17,Rob Walton,78.0,United States,Fashion & Retail,Male,United States,Married,Walmart,,,59000,87.0,Diversified,Koch Industries,,
17,Rob Walton,78.0,United States,Fashion & Retail,Male,United States,Married,Walmart,,,59000,60.0,Diversified,Koch Industries,,
19,Alice Walton,73.0,United States,Fashion & Retail,Female,United States,Divorced,Walmart,,,58800,74.0,Fashion & Retail,Walmart,,
20,Zhong Shanshan,68.0,China,Food & Beverage,Male,China,no data,Beverages, pharmaceuticals,,57600,78.0,Fashion & Retail,Walmart,,
21,Julia Koch,61.0,United States,Diversified,Female,United States,Widowed,Koch Industries ,,,56700,73.0,Fashion & Retail,Walmart,,
21,Charles Koch,87.0,United States,Diversified,Male,United States,Married,Koch Industries,,,56700,73.0,Fashion & Retail,Walmart,,
23,David Thomson,66.0,Canada,Media & Entertainment,Male,Canada,Divorced,Media,,,50100,58.0,Technology,Dell Technologies,,
24,Gautam Adani,61.0,India,Diversified,Male,India,Married,Infrastructure, commodities,,47200,60.0,Diversified,Infrastructure, commodities,
25,Dieter Schwarz,83.0,Germany,Fashion & Retail,Male,Germany,Married,Retail,,,45100,85.0,Fashion & Retail,Nike,,
26,Zhang Yiming,39.0,China,Technology,Male,China,no data,TikTok,,,45000,39.0,Technology,TikTok,,
27,Phil Knight,85.0,United States,Fashion & Retail,Male,United States,Married,Nike,,,42900,83.0,Fashion & Retail,Retail,,
28,Mark Mateschitz,31.0,Austria,Food & Beverage,Male,Austria,Single,Red Bull,,,40100,86.0,Fashion & Retail,Luxury goods,,
29,Jensen Huang,60.0,United States,Technology,Male,United States,Married,Semiconductors,,,39100,85.0,Logistics,Shipping,,
30,Giovanni Ferrero,58.0,Italy,Food & Beverage,Male,Italy,Married,Nutella, chocolates,,38900,58.0,Food & Beverage,Nutella, chocolates,
31,John Mars,87.0,United States,Food & Beverage,Male,United States,Married,Candy, pet food,,38300,83.0,Food & Beverage,Candy, pet food,
31,John Mars,87.0,United States,Food & Beverage,Male,United States,Married,Candy, pet food,,38300,87.0,Food & Beverage,Candy, pet food,
31,Jacqueline Mars,83.0,United States,Food & Beverage,Female,United States,Divorced,Candy, pet food,,38300,83.0,Food & Beverage,Candy, pet food,
31,Jacqueline Mars,83.0,United States,Food & Beverage,Female,United States,Divorced,Candy, pet food,,38300,87.0,Food & Beverage,Candy, pet food,
33,FranÃ§ois Pinault,86.0,France,Fashion & Retail,Male,France,Married,Luxury goods,,,38000,94.0,Diversified,Diversified,,
34,Li Ka-shing,95.0,Hong Kong,Diversified,Male,Hong Kong,Widowed,Diversified,,,35300,51.0,Technology,Internet media,,
35,MacKenzie Scott,53.0,United States,Technology,Female,United States,Divorced,Amazon,,,35000,77.0,Gambling & Casinos,Casinos,,
35,MacKenzie Scott,53.0,United States,Technology,Female,United States,Divorced,Amazon,,,35000,54.0,Finance & Investments,Hedge funds,,
37,Klaus-Michael Kuehne,86.0,Germany,Logistics,Male,Germany,Married,Shipping,,,34700,30.0,Food & Beverage,Red Bull,,
